name	cost	pcost	supply	type	actions	cards	buys	money	v tokens	v points	treasure
acolyte	2	0	10	action	1	0	0	0	0	0	0
aqueduct	4	0	10	action	0	0	0	0	0	0	0
architect	6	0	10	action	0	5	0	0	0	0	0
aristocrat	3	0	10	action	0	0	0	0	0	0	0
benefactor	2	0	10	action	0	0	0	0	0	0	0
betrayers	3	0	10	action	0	0	0	4	0	0	0
champion	3	0	10	action duration	1	0	0	1	0	0	0
cursed land	4	0	10	action permanent	0	1	0	0	-1	0	0
evangelist	5	0	10	action permanent	0	0	0	0	0	0	0
floating city	2	0	10	action permanent	0	0	1	0	0	0	0
furnace	6	0	10	action permanent	0	0	0	0	0	0	0
gambler	6	0	10	action duration	0	0	1	3	0	0	0
gardener	3	0	10	treasure	0	0	0	0	0	0	1
grand court	7	0	10	action	0	0	0	0	0	0	0
haunted village	5	0	10	action attack	2	0	0	0	0	0	0
heiress	3	0	10	action	1	0	1	0	1	0	0
hex	7	0	10	action	1	2	0	0	0	0	0
knight	6	0	10	action duration	0	0	0	0	0	0	0
meadow	4	0	10	victory	0	0	0	0	0	1	0
mercenary	5	0	10	action	2	2	0	-1	0	0	0
palace	7	0	10	action permanent	0	0	0	1	0	0	0
pauper	6	0	10	action permanent	0	0	0	0	0	0	0
pillage	3	0	10	action	0	0	0	0	0	0	0
plunder	5	0	10	treasure	0	0	1	0	0	0	1
promised land	6	0	10	action permanent	0	0	0	0	1	0	0
ruins	7	0	10	victory	0	0	0	0	0	0	0
sepulcher	5	0	10	action	0	0	0	0	0	0	0
squire	4	0	10	action	1	1	0	0	0	0	0
street urchin	2	0	10	action	0	0	0	1	0	0	0
trailblazer	2	0	10	action	0	0	0	0	0	0	0
wager	2	0	10	treasure	0	0	0	0	0	0	1
witchdoctor	5	0	10	action	0	0	0	0	0	0	0
